metric,Def_Pen_Touches,PrgC_Progression,PrgDist_Total,Att_Long,xG_Per,PrgR_Progression,Sh_per_90_Standard,xG_plus_xAG_Per,npxG_Per,npxG_plus_xAG_Per,Cmp_Long,TotDist_Total,Def_3rd_Touches,SoT_per_90_Standard,Att_Medium,Cmp_Medium,Att_Total,PrgR_Receiving,PrgC_Carries,KP,Cmp_Total,Att_Pen_Touches,Att_3rd_Touches,Clr,G_plus_A_Per,Gls_Per,Gls_Standard,G_plus_A_minus_PK_Per,CPA_Carries,Succ_Take,Tkld_Take,Won_Aerial,PPA,G_minus_PK_Per,Att_Take,Final_Third,Att_Short,Sh_Blocks,Cmp_percent_Medium,Cmp_Short,Mis_Carries,PrgP_Progression,Final_Third_Carries,CrsPA,Prog,Int,Lost_Aerial,xAG_Per,Cmp_percent_Total,Crs,xA,Cmp_percent_Short,Off,Dis_Carries,Fld,Tkl_plus_Int,Won_percent_Aerial,Def_3rd_Tackles,PrgP,Tkl_percent_Challenges,Recov,Mid_3rd_Touches,npxG_per_Sh_Expected,TklW_Tackles,TklW,PrgDist_Carries,Cmp_percent_Long,Tkl_Tackles,FK_Standard,Live_Touches,Touches_Touches
Def_Pen_Touches,0.9999999999999999,-0.38526900469714315,0.5939567809145129,0.6110651366012605,-0.33911289915800874,-0.47660609823314454,-0.42232574745473256,-0.3942106620809429,-0.3477713781742597,-0.40001030478809824,0.5221260664176808,0.366538404092762,0.7511740912948428,-0.3821792815475091,0.29681779870167324,0.33134625670589835,0.20792862857355154,-0.39430132979477533,-0.2888096629710286,-0.42738894482599793,0.20045339063497766,-0.336156965298408,-0.40273090739042544,0.39578669623900464,-0.36134868680966,-0.30422522538015406,-0.3048531976818655,-0.36297620102107186,-0.30110483155376,-0.29000096375770346,-0.305461260279484,0.12487707097888123,-0.37299033004488746,-0.3072872034392278,-0.31480977567113855,-0.04833172644091786,-0.14045844717886272,0.3487957847102077,0.4203958805956019,-0.09083628923361119,-0.3676755823030309,-0.22545686112187696,-0.28360580314119876,-0.20878566993062975,-0.2744299725163684,0.19039044595739663,-0.09315989092529514,-0.367407899117753,0.11060801631631673,-0.20462977525565082,-0.3895096289400872,0.37504021054267517,-0.2636016018892791,-0.3632526220094073,-0.26445637405093886,0.11294583649245944,0.4126782810842915,0.13997371150542848,-0.17694276577270887,0.10903751579622782,0.10996153551646724,0.051439734941912486,-0.26437667419905103,0.016460236713099295,0.016460236713099295,0.1836040185404663,-0.007817792177612368,0.026437241689360135,-0.13151465136113186,0.2824004541336371,0.2822375987571818
PrgC_Progression,-0.38526900469714315,0.9999999999999999,-0.2341775386682877,-0.21605859800291355,0.17577756058944302,0.7508494544326243,0.31346814199076495,0.34616313527155884,0.21084800891941857,0.3803392326941045,-0.25405139033842816,-0.14076507538583166,-0.3833734632157186,0.29896277189070497,-0.15821179542283825,-0.19321889766005323,0.029994699077688963,0.6735676180876894,0.8912974177774899,0.5682826349160843,-0.011748632596870267,0.3809056928788635,0.6737661833047521,-0.411800375797378,0.31496075665763834,0.12002380014339561,0.12202878942997275,0.34192754534641434,0.7220373391631087,0.6656457393209758,0.6194868985571983,-0.3920058889671115,0.6612837759868541,0.1457745558064513,0.6801798214281332,0.02828195497912465,0.30108156811382025,-0.40665015257484516,-0.17269467621651743,0.25891360814938497,0.4072631997478551,0.27675088279253035,0.7982235252717605,0.4778273524874986,0.41595207966414666,-0.19482247883345047,-0.2453251135746335,0.5643666910103763,-0.09645406911511038,0.561410979423707,0.54784902032537,-0.02353102309977922,0.24611302890201106,0.3989144408784779,0.31211063242135534,-0.08943696065710016,-0.3893479652912294,-0.0464223953027699,0.24545707741043288,-0.08149611626064412,0.07237203624885868,0.05581603810176727,0.05272153476852577,0.039474357864221925,0.039474357864221925,0.4488775295027756,-0.18968815612951445,0.017847778406866972,0.0932032759321348,0.0747045503099182,0.07455466283386178
PrgDist_Total,0.5939567809145129,-0.2341775386682877,1,0.7451075587146709,-0.6341274929669412,-0.5636873344140748,-0.6333040316666985,-0.6167663224157678,-0.6485772030082452,-0.619556939522147,0.7560029488425289,0.8971877516097745,0.7884806147152107,-0.616694288933892,0.8848444555484276,0.8768105771747421,0.8398959540468102,-0.5323400575256728,-0.2088530071420254,-0.3712648593827183,0.8177821106925527,-0.6269286926146398,-0.37321318511477947,0.47361915617103034,-0.5581017851874873,-0.5717291405375574,-0.5721061554364872,-0.5585034554098125,-0.44841097494781085,-0.295495792083937,-0.3752743459039842,-0.031028013938983325,-0.15334394637964263,-0.5803200783634009,-0.3569764633598682,0.5921793358995732,0.4696702654207355,0.46841451279581947,0.6528040812525445,0.5153233984253607,-0.5993318196540408,0.4277772379444345,-0.14469067466110463,0.03181207119922447,0.47834634839168894,0.41559989021340576,-0.37743587710386356,-0.3525259409293531,0.5630840328252342,-0.027162633188540473,-0.3884642116414057,0.7077536269082043,-0.600650555586421,-0.5542664503607448,-0.3162641669946666,0.34377447030047303,0.35108145791545786,0.361012663950402,0.4491789629995893,0.4626065356929269,0.3333006803655668,0.5004037165858536,-0.4796879600984822,0.22752814492876292,0.22752814492876292,0.4508806382457297,0.14879334287344703,0.22472749956726942,-0.05416080565416232,0.5711626892182035,0.5708652911703521
Att_Long,0.6110651366012605,-0.21605859800291355,0.7451075587146709,1,-0.5798767833394304,-0.497003959455475,-0.556794949218525,-0.5412228714571511,-0.5931096173120026,-0.5426256581274234,0.9286869215877668,0.6790936454679566,0.6638242962483355,-0.5655936599297915,0.5592066142326818,0.5518507451594492,0.5415449875847894,-0.44421889723345503,-0.17307009927291772,-0.27870091583387313,0.4812713289856032,-0.5623653011938252,-0.31333420382444527,0.4411642365331566,-0.5182361496676773,-0.5255241789404149,-0.5254181047168632,-0.5207396587036486,-0.3891413792990863,-0.25434159576435916,-0.36476629759646645,-0.05993684770028514,-0.16394889879955885,-0.5360572806204007,-0.33330758265958055,0.30468882147963616,0.07612156299768241,0.4250885697024098,0.5543127787929224,0.12463392426954767,-0.5342655884462219,0.16096084522407478,-0.12481062770855199,0.04160529907969814,0.0925842269611264,0.4653971200678811,-0.30963656171454856,-0.265980703194241,0.26384841782306123,0.15357524687415236,-0.3654428607494642,0.5564660248046818,-0.5667711239705517,-0.4590249490452022,-0.2969328970468573,0.35155699997336637,0.2559313383481909,0.3203701635079937,0.274487710840332,0.30593148762123135,0.2817014421271142,0.25791590352089805,-0.3977579706483356,0.21610493222802982,0.21610493222802982,0.28675363577090957,0.029307235401796743,0.19426461036604953,0.1048627140281815,0.3866147333049314,0.386325170615627
xG_Per,-0.33911289915800874,0.17577756058944302,-0.6341274929669412,-0.5798767833394304,1,0.5544145529735222,0.878402115829557,0.9429318654932956,0.9895151414238367,0.9205313615533368,-0.5643215586058941,-0.6025532624641176,-0.5577227158941386,0.9163942311331722,-0.6132070152082049,-0.5772920371674727,-0.5772624383816327,0.524533582036515,0.17560025651107378,0.35781407856518116,-0.5346823562428317,0.7675518219938249,0.38429053404458285,-0.4801630570883872,0.8908634220859095,0.9259328695415304,0.926054904159831,0.8628900900043799,0.4695084808339551,0.19475458395617823,0.2759864383794388,0.0262379722303469,0.18989418026019808,0.902639727793603,0.24952053842581917,-0.37496355773719875,-0.28452488861605496,-0.4051135006730773,-0.39334187672031806,-0.31142779023655454,0.5147650289905553,-0.255246363630161,0.10340276729988195,-0.15266759628616156,-0.2618251121844939,-0.4732586130253111,0.23966017844510004,0.47649980547307824,-0.35073173418196224,-0.08465191657225488,0.5991360823546993,-0.4851178743853218,0.725612130489477,0.44022932929367137,0.2889539888119053,-0.48045493815415136,-0.23612211669074573,-0.519897251214424,-0.29841308008113626,-0.6005560033757792,-0.40798826854179643,-0.3470497692704529,0.5025764730260857,-0.42021314798151865,-0.42021314798151865,-0.24854798953830698,-0.010440966030460975,-0.40876777766109507,0.22243004063767857,-0.35355736723660647,-0.3526448663744137
PrgR_Progression,-0.47660609823314454,0.7508494544326243,-0.5636873344140748,-0.497003959455475,0.5544145529735222,1,0.6429680542832453,0.7015784495466743,0.5861194264150699,0.7277153058628939,-0.565364326255605,-0.5038743549720129,-0.6394980803798,0.6401549594479945,-0.5051007653163628,-0.5324862984108794,-0.3241116310347456,0.8752320191304388,0.6329108469111822,0.7129917901196099,-0.3558271384478145,0.7103894777759492,0.7446442246800792,-0.5842766592853846,0.6391223806774339,0.47665901018409457,0.47765139549835706,0.6569289584056136,0.72990145503122,0.521593136211945,0.6193170960844655,-0.24178381302928964,0.7064080409874498,0.49690140372573166,0.6006042383009724,-0.3063453856921395,0.058472649199684645,-0.5747645142680629,-0.49560050375213016,0.0062699491943523245,0.6200893045174546,-0.0020636738394666835,0.5560080776602528,0.42454021459829966,0.039969716945825254,-0.4587981664315814,0.03624690255347434,0.741261506239743,-0.3822510681245985,0.43457329554694957,0.6895696673269397,-0.30563258207947847,0.5694337825051541,0.5404587294282752,0.3388432590510507,-0.36145047041148015,-0.43538098048797136,-0.3389121770516555,-0.002094300937599785,-0.3534758289867201,-0.22300075357349422,-0.25185755426092066,0.32791186178458104,-0.21315900197972615,-0.21315900197972615,0.03431126298998227,-0.28353250698788524,-0.21706821065465304,0.11966831358493156,-0.20983281552913804,-0.2096820690314207
Sh_per_90_Standard,-0.42232574745473256,0.31346814199076495,-0.6333040316666985,-0.556794949218525,0.878402115829557,0.6429680542832453,0.9999999999999998,0.8802228591936878,0.8945219577903982,0.8828178290467289,-0.5344639642182627,-0.5458549420604764,-0.6277764260766024,0.9361119427954704,-0.5722897392052892,-0.5504794770182669,-0.4756791372066269,0.6039062978273305,0.28273207791419386,0.48139613390935143,-0.4505878547616189,0.8067897796047497,0.5273386281677964,-0.5541544720993834,0.846891852505348,0.828756158099626,0.8291783620126825,0.8467675663007623,0.5138984619858326,0.31799593775387525,0.38897574320503914,-0.003566366882250102,0.3326079057995396,0.8378944403398929,0.3723714335061183,-0.25402031181238455,-0.14139906123855364,-0.450579958533675,-0.4227308304752506,-0.17900722851926845,0.584636700106019,-0.10431747771554906,0.22801165800734258,-0.10290885788865203,-0.1002873411978713,-0.5034876430703384,0.22489517892063282,0.5573911631284404,-0.3320703852986265,0.0526728884778687,0.5993005848509874,-0.4337956923082385,0.6591262139953855,0.5474796869856041,0.3300011191668838,-0.4605554375591517,-0.2400160311805465,-0.4809892757882373,-0.16294408502854932,-0.5616273086136918,-0.3500176361449659,-0.2707110963153236,0.32637727938815264,-0.36013815965400453,-0.36013815965400453,-0.16854682490584708,-0.01865850711502528,-0.34797631677749385,0.32907803037407474,-0.29453485731641904,-0.2939583997920859
xG_plus_xAG_Per,-0.3942106620809429,0.34616313527155884,-0.6167663224157678,-0.5412228714571511,0.9429318654932956,0.7015784495466743,0.8802228591936878,1,0.9428324950590882,0.9931094630201099,-0.5533718512646805,-0.5714081555934853,-0.6122006251818536,0.9092443206852057,-0.598001268065187,-0.5757802280581802,-0.49669474105255373,0.6287841682301656,0.3002877216649477,0.6053001917988006,-0.47518711974448186,0.7987046064464473,0.5245076091388526,-0.540592324989914,0.9356643742924555,0.8681520753549447,0.8683953063023958,0.9214109368410662,0.5577650082760875,0.2845110065143775,0.38832015367098566,-0.043118368911667836,0.40574449555451053,0.8562193729431218,0.357988476216714,-0.3241072916605944,-0.1630287622926508,-0.47708075002130895,-0.4106789731892963,-0.19711989819688386,0.555819886637622,-0.13843874820034094,0.23042687262325828,0.011255226416910026,-0.16059628903509604,-0.4815232981050518,0.19773430265895117,0.7416972478435914,-0.3546277378074808,0.10844119508398965,0.7919019265286396,-0.4277620532760909,0.7055417648456493,0.47060295703555194,0.3265332456369571,-0.47191827611161746,-0.31989484963369125,-0.5220737176124847,-0.1736405636083598,-0.5422908781210372,-0.38117836280515716,-0.3325941658121274,0.41467929714218194,-0.4016754418410118,-0.4016754418410118,-0.18260955427031791,-0.09692814325468818,-0.3868287366605312,0.28362370848159224,-0.3227535050559107,-0.32197492702792946
npxG_Per,-0.3477713781742597,0.21084800891941857,-0.6485772030082452,-0.5931096173120026,0.9895151414238367,0.5861194264150699,0.8945219577903982,0.9428324950590882,0.9999999999999998,0.9370036651422099,-0.5756189040464699,-0.608599789211574,-0.5736899375287482,0.9336655299814076,-0.6212101840945244,-0.5859377093934658,-0.5763552434950292,0.5482923780964679,0.2028792181831652,0.3840242334810319,-0.5342259469516529,0.7822799554130057,0.40488371714916493,-0.497300264170103,0.8910941891713191,0.9200878823395127,0.9204614084147079,0.8780598661872139,0.4962185208726369,0.2225982247186787,0.3064864188103698,0.011383629151505367,0.21542314622625258,0.9155054740978633,0.2793009941525681,-0.3803779339360121,-0.26866328501205156,-0.4214967679801664,-0.3992348649382545,-0.297975981025517,0.5238865959886808,-0.2531106653464499,0.1314646722698531,-0.1394513482167588,-0.24550129005973292,-0.49165425758143666,0.22740668274982057,0.4986761644292563,-0.3489365661093338,-0.07265088724101647,0.627795879356621,-0.4856233651961775,0.7170529841835176,0.45736795347318976,0.2925368226027313,-0.4930687697720839,-0.24010257747368227,-0.5218402037324811,-0.2991395841890627,-0.6079753998186023,-0.4193613669672606,-0.3567523882960995,0.517725295504321,-0.4293920325825757,-0.4293920325825757,-0.23725988371841805,-0.0218345881831435,-0.4142440515619783,0.2300954964950626,-0.3597942563780046,-0.359098341706989
npxG_plus_xAG_Per,-0.40001030478809824,0.3803392326941045,-0.619556939522147,-0.5426256581274234,0.9205313615533368,0.7277153058628939,0.8828178290467289,0.9931094630201099,0.9370036651422099,1,-0.554946075659543,-0.5672462570380981,-0.6209974885816402,0.9114313199525825,-0.5961565090356511,-0.5756704570631448,-0.4845753655101364,0.6466955257073886,0.32598511631214916,0.6360520378099079,-0.4651358448890267,0.8024560799151301,0.5442643937228069,-0.5517274268110616,0.9289066354473859,0.8500889179505003,0.850510810534799,0.9271154702804273,0.5768238374799038,0.3084859881082193,0.41452556081365305,-0.05824052558082015,0.43524349607591317,0.8532685810869591,0.3837889008584077,-0.32071410777610365,-0.14034772765599066,-0.48937092874446236,-0.4119816691115597,-0.1764585451111874,0.5595741863150986,-0.1266213670811722,0.25826142241676947,0.03194693340444238,-0.140347406194078,-0.48980587594327146,0.1845457196553217,0.7696233372424041,-0.34944878266991225,0.1297457077018673,0.8202558098187747,-0.41964143307861373,0.6885711192172473,0.48106170278834665,0.32843573813627136,-0.47494631758217803,-0.3256062862440865,-0.5173618837290395,-0.16207590739270522,-0.5378767336394729,-0.3832065138095702,-0.33478645812277225,0.41373393952767623,-0.4027259256995911,-0.4027259256995911,-0.16734982810636206,-0.11001670268558186,-0.3847399757696721,0.290290243883624,-0.32125544947141765,-0.32065893893462866
