source,prior_league,n_players,mean_y1_minutes,median_y1_minutes,mean_stable_trait_score,mean_y1_minutes_pct
statsbomb,FIFA World Cup,22,248.6,129.1,57.27,52.7
statsbomb,Premier League,3,146.2,163.9,53.57,57.5
statsbomb,La Liga,3,220.8,190.0,49.67,87.2
statsbomb,Ligue 1,16,132.8,136.3,49.53,50.7
statsbomb,UEFA Euro,15,203.0,95.0,49.46,42.9
statsbomb,Serie A,1,58.8,58.8,47.9,3.3
