player_id,passes,pass_progressive,passes_into_final_third,shots,xg,xa,pressures,tackles,interceptions,clearances,aerials_won,dribbles_completed,carries,carry_progressive,fouls_won,dispossessed
20485,29.329433883434298,11.844579068310006,14.10068936703572,0.5640275746814288,0.06963986759974931,0.0,16.356799665761436,1.1280551493628577,0.5640275746814288,1.6920827240442864,0.0,0.0,17.484854815124294,0.5640275746814288,1.1280551493628577,-1.1280551493628577
12294,36.0,14.210526315789473,5.684210526315789,0.0,0.0,0.0,24.63157894736842,3.789473684210526,2.8421052631578947,4.7368421052631575,1.894736842105263,0.0,18.0,0.9473684210526315,0.0,-0.0
12299,26.052631578947366,6.157894736842105,12.789473684210526,0.0,0.0,0.02736209652631579,14.210526315789473,0.0,0.0,1.894736842105263,0.0,0.0,15.63157894736842,1.4210526315789473,0.9473684210526315,-0.9473684210526315
8206,48.587699316628694,11.685649202733485,9.840546697038723,0.0,0.0,0.023135411275626423,19.681093394077447,3.075170842824601,0.6150341685649202,2.460136674259681,1.2300683371298404,0.0,36.902050113895214,1.2300683371298404,3.690205011389521,-1.8451025056947605
8207,37.14662646061063,13.484734263098376,8.141726347531096,0.7632868450810402,0.07583278900301545,0.0,23.153034300791553,3.8164342254052013,2.035431586882774,3.5620052770448543,0.5088578967206935,0.0,23.66189219751225,1.2721447418017338,0.5088578967206935,-0.5088578967206935
12304,30.31578947368421,10.421052631578947,19.894736842105264,1.894736842105263,0.04784611452631579,0.07426771578947368,24.63157894736842,0.9473684210526315,0.9473684210526315,0.0,0.0,2.8421052631578947,26.52631578947368,2.8421052631578947,2.8421052631578947,-5.684210526315789
12303,60.63157894736842,15.157894736842104,23.684210526315788,0.9473684210526315,0.036624435157894736,0.1173431652631579,17.052631578947366,3.789473684210526,2.8421052631578947,0.0,0.0,0.0,50.21052631578947,4.7368421052631575,2.8421052631578947,-2.8421052631578947
8210,39.91157158412248,14.43230936747286,12.828719437753653,2.1381199062922756,0.2517562146566799,0.04356158529712607,25.30108555779193,1.2472366120038274,1.0690599531461378,1.7817665885768963,0.0,0.35635331771537926,27.082852146368822,1.959943247434586,2.494473224007655,-1.425413270861517
8211,39.273660693064606,19.123449161002046,11.936112563578458,0.7700717782953843,0.0454744218852498,0.01638498933783334,16.941579122498457,3.5936682987117936,2.695251224033845,2.9519418167989735,0.5133811855302562,0.5133811855302562,24.770642201834864,2.5669059276512813,1.7968341493558968,-1.4117982602082046
8212,56.23631665801013,21.976186875825928,20.059039717030128,0.6390490529319333,0.026401543960657727,0.05392627802315565,16.50876720074161,2.94672618851947,2.343179860750422,3.0177316388452406,0.7100545032577037,0.6390490529319333,35.39621698739653,4.899376072478155,1.4911144568411776,-2.4141853110761926
8213,29.267476864756375,7.191437172482995,18.49704537852603,2.4082952391570958,0.18428460153863296,0.23892877648344288,21.306723157542642,1.638978704426357,0.735867989742446,0.267588359906344,0.0,2.508640874121975,35.154420782695944,6.6897089976586,2.307949604192217,-6.6897089976586
8208,34.10526315789473,26.52631578947368,3.789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.57894736842105,0.0,0.0,-0.0
8215,21.57894736842105,5.789473684210526,11.052631578947368,0.5263157894736842,0.03917574736842105,0.18057503684210524,23.157894736842103,2.1052631578947367,0.5263157894736842,0.0,0.0,1.5789473684210527,16.842105263157894,1.5789473684210527,0.5263157894736842,-3.6842105263157894
