metric,n_pairs,stability_r,passes_0_40,passes_0_50,passes_0_70,category,abbrev,label
G_minus_xG_Expected,137,0.14621172506097918,FALSE,FALSE,FALSE,Attacking,GMINU,G minus xG Expected
G_per_SoT_Standard,112,0.14312334816095618,FALSE,FALSE,FALSE,Attacking,GPERS,G/SoT Standard
G_per_Sh_Standard,131,0.1353536003500601,FALSE,FALSE,FALSE,Attacking,GPERS,G/Sh Standard
np:G_minus_xG_Expected,137,0.12979772115682842,FALSE,FALSE,FALSE,Attacking,NP:GM,np:G minus xG Expected
A_minus_xA,63,0.1257658407289442,FALSE,FALSE,FALSE,Passing,AMINU,A minus xA
Att_3rd_Tackles,132,0.1250606316814349,FALSE,FALSE,FALSE,Passing,ATT3R,Att 3rd Tackles
Err,132,0.1032455036512712,FALSE,FALSE,FALSE,Defending,ERR,Err
2CrdY,132,0.022567199345828792,FALSE,FALSE,FALSE,Other,2CRDY,2CrdY
PKwon,132,0.020938910672083023,FALSE,FALSE,FALSE,Attacking,PKWON,PKwon
PKcon,132,0.018196342124334238,FALSE,FALSE,FALSE,Attacking,PKCON,PKcon
OG,132,-0.049204057936966396,FALSE,FALSE,FALSE,Other,OG,OG
CrdR,137,-0.061663586221773564,FALSE,FALSE,FALSE,Other,CRDR,CrdR
