player_id,player,prior_season,prior_comp,prior_squad,prior_minutes,y1_season,y1_squad,y1_minutes,pos
https://fbref.com/en/players/00242715/Moussa-Niakhate,Moussa Niakhate,2018,Ligue 1,Metz,3105,2019,Mainz 05,2789,DF
https://fbref.com/en/players/0118c54c/Anthony-Caci,Anthony Caci,2022,Ligue 1,Strasbourg,2395,2023,Mainz 05,2033,DF
https://fbref.com/en/players/032f894e/Renato-Sanches,Renato Sanches,2018,Premier League,Swansea City,702,2019,Bayern Munich,577,MF
https://fbref.com/en/players/0630eb63/Nemanja-Radonjic,Nemanja Radonjić,2020,Ligue 1,Marseille,880,2021,Hertha BSC,611,"FW,MF"
https://fbref.com/en/players/08990838/Denis-Vavro,Denis Vavro,2021,La Liga,Huesca,611,2025,Wolfsburg,2461,DF
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,Jonjoe Kenny,2019,Premier League,Everton,791,2020,Schalke 04,2717,DF
https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,Mathias Jørgensen,2019,Premier League,Huddersfield,2147,2020,Düsseldorf,498,DF
https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,Eric Maxim Choupo-Moting,2020,Ligue 1,Paris S-G,451,2021,Bayern Munich,820,"FW,MF"
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,Philippe Coutinho,2019,La Liga,Barcelona,2018,2020,Bayern Munich,1411,"MF,FW"
https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,Ibrahima Sissoko,2024,Ligue 1,Strasbourg,1642,2025,Bochum,2610,MF
https://fbref.com/en/players/10e7f486/Rogerio,Rogério,2023,Serie A,Sassuolo,2996,2024,Wolfsburg,906,DF
https://fbref.com/en/players/112c495e/Dimitris-Giannoulis,Dimitris Giannoulis,2022,Premier League,Norwich City,1169,2025,Augsburg,2650,DF
https://fbref.com/en/players/12c35abe/Jens-Petter-Hauge,Jens Petter Hauge,2021,Serie A,Milan,532,2022,Eint Frankfurt,1040,"MF,FW"
https://fbref.com/en/players/13203c45/Jerome-Roussillon,Jérôme Roussillon,2018,Ligue 1,Montpellier,1880,2019,Wolfsburg,2461,DF
https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,Callum Hudson-Odoi,2022,Premier League,Chelsea,962,2023,Leverkusen,605,"FW,MF"
https://fbref.com/en/players/17f3620a/Krzysztof-Piatek,Krzysztof Piątek,2019,Serie A,Genoa,1593,2020,Hertha BSC,909,FW
https://fbref.com/en/players/1944818c/Yan-Couto,Yan Couto,2024,La Liga,Girona,2245,2025,Dortmund,895,"DF,FW"
https://fbref.com/en/players/1a4b9094/Bouna-Sarr,Bouna Sarr,2020,Ligue 1,Marseille,2164,2021,Bayern Munich,452,DF
https://fbref.com/en/players/21a66f6a/Harry-Kane,Harry Kane,2023,Premier League,Tottenham,3405,2024,Bayern Munich,2839,FW
https://fbref.com/en/players/228f73ae/Amin-Younes,Amin Younes,2019,Serie A,Napoli,498,2021,Eint Frankfurt,1391,MF
https://fbref.com/en/players/25f50295/Mike-van-der-Hoorn,Mike van der Hoorn,2018,Premier League,Swansea City,1944,2021,Arminia,1356,DF
https://fbref.com/en/players/2944f86f/Frank-Onyeka,Frank Onyeka,2024,Premier League,Brentford,1161,2025,Augsburg,2586,MF
https://fbref.com/en/players/2b114be3/Leroy-Sane,Leroy Sané,2019,Premier League,Manchester City,1867,2021,Bayern Munich,1805,"FW,MF"
https://fbref.com/en/players/2d5f03bf/Christoph-Zimmermann,Christoph Zimmermann,2020,Premier League,Norwich City,1430,2024,Darmstadt 98,1220,DF
https://fbref.com/en/players/2d970560/Robin-Gosens,Robin Gosens,2023,Serie A,Inter,1184,2024,Union Berlin,2283,"DF,MF"
https://fbref.com/en/players/2f3e911a/Aaron-Martin,Aarón Martín,2018,La Liga,Espanyol,2815,2019,Mainz 05,2878,DF
https://fbref.com/en/players/357103bd/Fares-Chaibi,Fares Chaïbi,2023,Ligue 1,Toulouse,2340,2024,Eint Frankfurt,1912,"MF,FW"
https://fbref.com/en/players/378825c7/Ramy-Bensebaini,Ramy Bensebaini,2019,Ligue 1,Rennes,2152,2020,M'Gladbach,1448,DF
https://fbref.com/en/players/3935e52e/Sead-Kolasinac,Sead Kolašinac,2020,Premier League,Arsenal,1701,2021,Schalke 04,1426,"DF,MF"
https://fbref.com/en/players/39769cff/Rasmus-Kristensen,Rasmus Kristensen,2024,Serie A,Roma,1744,2025,Eint Frankfurt,2513,DF
https://fbref.com/en/players/3b61c9ec/Luca-Pellegrini,Luca Pellegrini,2022,Serie A,Juventus,1107,2023,Eint Frankfurt,557,DF
https://fbref.com/en/players/3bb625ac/Edimilson-Fernandes,Edimilson Fernandes,2019,Serie A,Fiorentina,1970,2020,Mainz 05,1484,"MF,DF"
https://fbref.com/en/players/3effaa34/Andre-Silva,André Silva,2019,La Liga,Sevilla,2159,2020,Eint Frankfurt,1575,FW
https://fbref.com/en/players/3f2d59fe/Shkodran-Mustafi,Shkodran Mustafi,2020,Premier League,Arsenal,1207,2021,Schalke 04,1037,DF
https://fbref.com/en/players/462475ed/Ludovic-Ajorque,Ludovic Ajorque,2022,Ligue 1,Strasbourg,2738,2023,Mainz 05,1211,"FW,MF"
https://fbref.com/en/players/4b803b3c/Maximilian-Wober,Maximilian Wöber,2023,Premier League,Leeds United,1266,2024,Gladbach,2066,DF
https://fbref.com/en/players/4b96c347/Angelo-Fulgini,Angelo Fulgini,2022,Ligue 1,Angers,2929,2023,Mainz 05,525,MF
https://fbref.com/en/players/4c3a6744/Justin-Kluivert,Justin Kluivert,2020,Serie A,Roma,1514,2021,RB Leipzig,813,"FW,MF"
https://fbref.com/en/players/5148dcc5/Martin-Terrier,Martin Terrier,2024,Ligue 1,Rennes,1527,2025,Leverkusen,584,"MF,FW"
https://fbref.com/en/players/52ec54d0/Leonardo-Bonucci,Leonardo Bonucci,2023,Serie A,Juventus,879,2024,Union Berlin,460,DF
https://fbref.com/en/players/5b479568/Myron-Boadu,Myron Boadu,2022,Ligue 1,Monaco,960,2025,Bochum,1042,FW
https://fbref.com/en/players/5b92d896/Hugo-Ekitike,Hugo Ekitike,2023,Ligue 1,Paris S-G,1155,2024,Eint Frankfurt,716,FW
https://fbref.com/en/players/5b9512c5/Castello-Lukeba,Castello Lukeba,2023,Ligue 1,Lyon,2986,2024,RB Leipzig,2191,DF
https://fbref.com/en/players/5bc43860/Brenden-Aaronson,Brenden Aaronson,2023,Premier League,Leeds United,2372,2024,Union Berlin,1267,"MF,FW"
https://fbref.com/en/players/5d4f7d61/Patrik-Schick,Patrik Schick,2019,Serie A,Roma,1314,2020,RB Leipzig,1298,FW
https://fbref.com/en/players/5db04597/Pablo-Maffeo,Pablo Maffeo,2018,La Liga,Girona,2642,2019,Stuttgart,597,"DF,MF"
https://fbref.com/en/players/5e22e2a4/Baptiste-Santamaria,Baptiste Santamaria,2020,Ligue 1,Angers,2505,2021,Freiburg,2209,MF
https://fbref.com/en/players/5ea8ef20/Matteo-Guendouzi,Mattéo Guendouzi,2020,Premier League,Arsenal,1748,2021,Hertha BSC,1818,MF
https://fbref.com/en/players/61590953/Stanley-NSoki,Stanley N'Soki,2021,Ligue 1,Nice,1246,2023,Hoffenheim,1286,DF
https://fbref.com/en/players/64ba07c0/Ronael-Pierre-Gabriel,Ronaël Pierre-Gabriel,2018,Ligue 1,Saint-Étienne,1170,2020,Mainz 05,574,DF
https://fbref.com/en/players/689c9cf4/Saidy-Janko,Saidy Janko,2021,La Liga,Valladolid,1220,2023,Bochum,1134,DF
https://fbref.com/en/players/6aa3e78b/Ryan-Sessegnon,Ryan Sessegnon,2019,Premier League,Fulham,2300,2021,Hoffenheim,1574,"DF,FW"
