region,auc_roc,brier,n_obs,n_test,n_countries,event_rate
MENA + Persian Sphere,0.45222222222222225,0.27941320866357644,495.0,135.0,9.0,0.0707070707070707
Latin America,0.6998129929262542,0.24161452600476793,1100.0,300.0,20.0,0.09818181818181818
Sub-Saharan Africa,0.6757894736842106,0.16657239252836165,385.0,105.0,7.0,0.05454545454545454
Asia-Pacific,0.6121635094715853,0.2092638249451941,495.0,135.0,9.0,0.08888888888888889
